# Time-averaged data for fix myat2
# TimeStep v_myvol v_mylx v_myly v_mylz
1000 10961.9 22.1994 22.1994 22.1994
2000 11754.7 22.7372 22.7372 22.7372
3000 11620.9 22.6505 22.6505 22.6505
4000 11748.5 22.733 22.733 22.733
5000 12137.9 22.9813 22.9813 22.9813
6000 12705.1 23.3341 23.3341 23.3341
7000 13039.1 23.5367 23.5367 23.5367
8000 12446.7 23.1722 23.1722 23.1722
9000 11559.2 22.6103 22.6103 22.6103
10000 12611.5 23.2737 23.2737 23.2737
11000 12925.1 23.4679 23.4679 23.4679
12000 12324.8 23.0985 23.0985 23.0985
13000 12231.4 23.0405 23.0405 23.0405
14000 11951.6 22.8632 22.8632 22.8632
15000 12687.6 23.3224 23.3224 23.3224
16000 12485.7 23.1978 23.1978 23.1978
17000 11789.6 22.7596 22.7596 22.7596
18000 12308 23.0855 23.0855 23.0855
19000 13729.4 23.9439 23.9439 23.9439
20000 14061.5 24.1367 24.1367 24.1367
21000 13976.3 24.0877 24.0877 24.0877
22000 12835.3 23.4074 23.4074 23.4074
23000 11736.8 22.7256 22.7256 22.7256
24000 11535.9 22.5949 22.5949 22.5949
25000 11902.7 22.8322 22.8322 22.8322
26000 12191.1 23.0151 23.0151 23.0151
27000 11517.6 22.5818 22.5818 22.5818
28000 11726.3 22.7168 22.7168 22.7168
29000 12417.4 23.1565 23.1565 23.1565
30000 12577 23.2554 23.2554 23.2554
31000 11864.8 22.8076 22.8076 22.8076
32000 11792.8 22.7617 22.7617 22.7617
33000 12217.7 23.0314 23.0314 23.0314
34000 13010.1 23.5187 23.5187 23.5187
35000 13590.9 23.8642 23.8642 23.8642
36000 12885.5 23.4421 23.4421 23.4421
37000 12198.2 23.0195 23.0195 23.0195
38000 12756.6 23.3628 23.3628 23.3628
39000 13181.5 23.6209 23.6209 23.6209
40000 12519.5 23.2197 23.2197 23.2197
41000 13019.1 23.5247 23.5247 23.5247
42000 13360.7 23.7284 23.7284 23.7284
43000 13035 23.5321 23.5321 23.5321
44000 11702.9 22.7028 22.7028 22.7028
45000 12170.6 22.9996 22.9996 22.9996
46000 12793.9 23.3884 23.3884 23.3884
47000 12457.5 23.18 23.18 23.18
48000 11266 22.4161 22.4161 22.4161
49000 11386.3 22.4964 22.4964 22.4964
50000 11555.2 22.6078 22.6078 22.6078
51000 12036.5 22.8331 22.936 22.973
52000 13339.8 23.5813 23.355 24.2201
53000 13533.3 22.9498 22.815 25.8588
54000 12533.3 21.8728 21.5826 26.548
55000 12055.5 21.2407 20.7282 27.3825
56000 11105.3 20.2131 19.7995 27.744
57000 11148.6 19.9132 19.9131 28.1133
58000 11388.6 19.9886 19.8924 28.6408
59000 11738.2 20.2808 18.9974 30.479
60000 11611.6 20.4398 17.8863 31.7656
61000 11238.7 20.3676 17.0816 32.3033
62000 10666.4 20.2791 16.4836 31.9092
63000 10023.7 20.5772 15.809 30.8152
64000 10525.4 21.9805 15.6829 30.5296
65000 10902 22.9248 15.7174 30.257
66000 10785.6 23.5875 15.6718 29.1841
67000 10653.7 23.7292 16.352 27.46
68000 10094.3 23.3221 16.5562 26.14
69000 10137.8 22.8961 17.0328 25.9969
70000 9953.89 22.571 16.983 25.9673
71000 10727.7 23.9255 16.8752 26.5705
72000 10616.2 24.0226 16.3994 26.9489
73000 9895.1 23.0798 15.8477 27.0506
74000 10074.1 23.1169 15.6811 27.789
75000 10677.2 23.396 15.6132 29.2336
76000 10095.6 22.5303 14.8527 30.1662
77000 9900 21.9498 14.9265 30.2175
78000 10240.6 21.3177 15.6847 30.6343
79000 9681.81 20.0694 16.1009 29.9632
80000 9801.99 19.9298 16.4768 29.8492
81000 9953.69 19.7349 16.9514 29.7519
82000 9340.27 19.1348 16.5596 29.4773
83000 9394.22 18.3062 16.7655 30.6156
84000 9559.59 17.6894 17.1637 31.4848
85000 9532.23 17.8685 16.5813 32.1737
86000 9511.01 18.168 16.5995 31.538
87000 9581.6 17.9764 17.0097 31.339
88000 9874.21 17.3582 17.8745 31.8271
89000 9139.71 16.618 17.6816 31.0965
90000 8983.57 16.4374 17.619 31.0197
91000 9280.92 16.4819 18.0989 31.1142
92000 9378.76 15.8991 19.3337 30.5172
93000 9239.1 15.5156 19.7602 30.1332
94000 8829.42 14.8016 20.0141 29.8059
95000 8797.31 14.8039 19.9318 29.8193
96000 8918.93 15.3541 18.8984 30.7392
97000 8930.18 15.3201 19.1488 30.4437
98000 9156.13 15.2131 19.9105 30.2297
99000 8887.25 14.9904 20.4446 28.9998
100000 8800.93 15.02 20.4251 28.687
101000 8768.97 15.0746 20.442 28.4569
102000 8855.64 15.397 20.5705 27.9582
103000 8622.5 14.8979 20.606 28.0877
104000 8581.13 14.5807 21.6332 27.2069
105000 8643.48 14.0163 21.9767 28.0663
106000 8628.22 14.1642 21.5849 28.222
107000 8829.27 14.1437 21.8728 28.5408
108000 8709.43 14.4146 21.1839 28.5247
109000 8808.22 14.2489 21.8059 28.3504
110000 8667.87 13.9464 22.3582 27.7943
111000 8627.21 14.0986 22.2534 27.4964
112000 8506.93 14.4021 21.7021 27.2189
113000 8551.98 14.5281 21.0058 28.0241
114000 8486.66 14.6605 21.5206 26.9008
115000 8437.15 14.6568 21.3418 26.9732
116000 8426.78 14.8038 21.1034 26.9737
117000 8382.63 14.5086 20.9261 27.6134
118000 8231.99 14.7861 20.3149 27.4063
119000 8202.89 14.3692 20.4087 27.9745
120000 8281.82 14.5515 20.763 27.4114
121000 8454.24 14.3865 20.9677 28.0273
122000 8387.97 14.351 21.2589 27.4951
123000 8499.46 13.9886 21.3792 28.4214
124000 8579.1 13.9952 20.7847 29.4946
125000 8586.75 13.7568 21.0762 29.6134
126000 8590.41 13.7061 20.7746 30.1695
127000 8461.96 13.4839 20.9303 29.985
128000 8397.27 13.3694 20.7731 30.235
129000 8298.27 13.5119 20.4836 29.9826
130000 8490.56 13.8169 20.1343 30.5211
131000 8466.43 13.7527 20.2215 30.4442
132000 8387.54 13.874 19.9896 30.2452
