# Time-averaged data for fix myat3
# TimeStep v_mypot
1000 -4130.75
2000 -4327.53
3000 -4336.96
4000 -4332.15
5000 -4321.17
6000 -4302.8
7000 -4287.08
8000 -4304.9
9000 -4331.13
10000 -4305.58
11000 -4310.93
12000 -4317.57
13000 -4312.08
14000 -4334.08
15000 -4311.62
16000 -4312.55
17000 -4319.32
18000 -4326.26
19000 -4295.77
20000 -4297.68
21000 -4294.57
22000 -4299.43
23000 -4342.35
24000 -4334.08
25000 -4327.05
26000 -4326.82
27000 -4331.06
28000 -4327.76
29000 -4301.5
30000 -4313.71
31000 -4330.36
32000 -4320.5
33000 -4326.66
34000 -4291.17
35000 -4285.46
36000 -4309.75
37000 -4326.88
38000 -4314.25
39000 -4297.93
40000 -4321.28
41000 -4313.19
42000 -4296.01
43000 -4294.68
44000 -4326.46
45000 -4318.74
46000 -4315.92
47000 -4306.03
48000 -4340.14
49000 -4341.62
50000 -4343.9
51000 -4325.33
52000 -4308.27
53000 -4317.76
54000 -4346.97
55000 -4346.01
56000 -4390.07
57000 -4377.55
58000 -4367.01
59000 -4361.4
60000 -4377.81
61000 -4393.31
62000 -4409.63
63000 -4449.05
64000 -4430.68
65000 -4424.21
66000 -4445.03
67000 -4439.48
68000 -4464.18
69000 -4482.67
70000 -4482.56
71000 -4474.15
72000 -4471.22
73000 -4490.57
74000 -4501.35
75000 -4477.63
76000 -4507.7
77000 -4529.85
78000 -4518.26
79000 -4551.99
80000 -4551.43
81000 -4542.33
82000 -4565.28
83000 -4581.92
84000 -4586.99
85000 -4581.7
86000 -4594.81
87000 -4604.13
88000 -4597.41
89000 -4620.61
90000 -4650.17
91000 -4642.44
92000 -4624.84
93000 -4647.08
94000 -4687.57
95000 -4678.99
96000 -4673.77
97000 -4683.45
98000 -4678.94
99000 -4706.89
100000 -4722.07
101000 -4725.05
102000 -4703.68
103000 -4727.76
104000 -4746.62
105000 -4751.47
106000 -4742
107000 -4726.37
108000 -4744.42
109000 -4734.07
110000 -4740.34
111000 -4770.63
112000 -4772.27
113000 -4772.59
114000 -4792.66
115000 -4803.3
116000 -4800.2
117000 -4798.77
118000 -4805.69
119000 -4797.56
120000 -4778.93
121000 -4786.67
122000 -4815.69
123000 -4796.2
124000 -4795.54
125000 -4802.05
126000 -4810.11
127000 -4819.66
128000 -4821.94
129000 -4824.83
130000 -4816.54
131000 -4824.6
132000 -4839.3
133000 -4830.93
134000 -4843.42
135000 -4857.69
136000 -4845.37
137000 -4846.87
138000 -4863.23
139000 -4859.58
140000 -4862.12
141000 -4874.13
142000 -4878.6
143000 -4883.31
144000 -4874.83
145000 -4874.24
146000 -4887.95
147000 -4887.7
148000 -4885.08
149000 -4880.02
150000 -4887.51
151000 -4890.87
152000 -4899.26
153000 -4902.75
154000 -4902.58
155000 -4906.46
156000 -4910.51
157000 -4918.78
158000 -4917.32
159000 -4918.73
160000 -4919.17
161000 -4925.12
162000 -4936.16
163000 -4934.2
164000 -4936.59
165000 -4939.03
166000 -4935.06
167000 -4939.12
168000 -4941.6
169000 -4949.1
170000 -4946.61
171000 -4957.41
172000 -4959.42
173000 -4957.15
174000 -4961.73
175000 -4964.89
176000 -4964.12
177000 -4967.32
178000 -4972.59
179000 -4976.82
180000 -4978.87
181000 -4975.83
182000 -4977.58
183000 -4979.73
184000 -4983.33
185000 -4985.33
186000 -4982.87
187000 -4985.14
188000 -4993.7
189000 -4994.28
190000 -4988.7
191000 -4992.64
192000 -4998.31
193000 -4998.32
194000 -5001.45
195000 -5006.63
196000 -5010.17
197000 -5008.3
198000 -5011.97
199000 -5013.86
200000 -5015.6
201000 -5017.99
202000 -5015.8
203000 -5018.13
204000 -5023.14
205000 -5022.24
206000 -5023.86
207000 -5025.17
208000 -5024.64
209000 -5027.94
210000 -5032.06
211000 -5029.29
212000 -5033.75
213000 -5033.84
214000 -5036
215000 -5041.71
216000 -5040.39
217000 -5042.26
218000 -5042.74
219000 -5046.07
220000 -5047.48
221000 -5046.92
222000 -5049.36
223000 -5052.85
224000 -5056.23
225000 -5056.59
226000 -5060.26
227000 -5061.66
228000 -5063.59
229000 -5065.06
230000 -5067.12
231000 -5066.02
232000 -5069.1
233000 -5071.06
234000 -5074.05
235000 -5073.72
236000 -5073.67
237000 -5075.66
238000 -5078.08
239000 -5082.05
240000 -5081.47
241000 -5083.48
242000 -5084.82
243000 -5086.29
244000 -5087.86
245000 -5089.6
246000 -5092.7
247000 -5093.09
248000 -5093.69
249000 -5094.21
250000 -5096.68
251000 -5098.34
252000 -5100.59
253000 -5100.41
254000 -5102.83
255000 -5103.63
256000 -5105.88
257000 -5108.22
258000 -5110.82
259000 -5111.91
260000 -5113.41
261000 -5113.18
262000 -5114.99
263000 -5116.3
264000 -5117.56
265000 -5119.59
266000 -5120.43
267000 -5122.18
268000 -5124.12
269000 -5125.79
270000 -5126.72
271000 -5128.3
272000 -5129.57
273000 -5131.93
274000 -5133.42
275000 -5134.51
276000 -5135.97
277000 -5137.56
278000 -5139.45
279000 -5140.47
280000 -5141.56
281000 -5143.2
282000 -5144.77
283000 -5145.86
284000 -5148.02
285000 -5149.02
286000 -5150.6
287000 -5152.11
288000 -5153.91
289000 -5155.1
290000 -5156.56
291000 -5157.8
292000 -5159.82
293000 -5161.34
294000 -5162.66
295000 -5164.24
296000 -5165.35
297000 -5166.78
298000 -5168.04
299000 -5169.78
300000 -5171.22
301000 -5172.32
302000 -5172.06
303000 -5171.75
304000 -5171.54
305000 -5171.86
306000 -5172.11
307000 -5172.13
308000 -5172.31
309000 -5172.01
310000 -5172.35
311000 -5172.25
312000 -5172.17
313000 -5171.96
314000 -5171.58
315000 -5171.79
316000 -5171.61
317000 -5171.88
318000 -5172.06
319000 -5171.96
320000 -5171.9
321000 -5171.61
322000 -5171.84
323000 -5172.3
324000 -5172.22
325000 -5172.17
326000 -5172.1
327000 -5172.17
328000 -5171.96
329000 -5172.01
330000 -5172.01
331000 -5171.89
332000 -5171.91
333000 -5172.1
334000 -5172.35
335000 -5171.88
336000 -5172.12
337000 -5172.17
338000 -5171.91
339000 -5171.48
340000 -5172.09
341000 -5172.48
342000 -5172.01
343000 -5172.16
344000 -5171.92
345000 -5172.26
346000 -5171.99
347000 -5171.91
348000 -5172.08
349000 -5172.15
350000 -5171.81
