# Time-averaged data for fix myat3
# TimeStep v_mypot
1000 -13907.9
2000 -14643.1
3000 -14629.5
4000 -14594.1
5000 -14565.8
6000 -14587.3
7000 -14599.3
8000 -14556.3
9000 -14560.3
10000 -14509.7
11000 -14492
12000 -14588.4
13000 -14561.9
14000 -14552.3
15000 -14591.3
16000 -14547.6
17000 -14563.3
18000 -14571.6
19000 -14602.6
20000 -14608.7
21000 -14494.4
22000 -14526.8
23000 -14534.8
24000 -14582.1
25000 -14511.1
26000 -14564.8
27000 -14566.4
28000 -14541.7
29000 -14572.2
30000 -14551.1
31000 -14510.7
32000 -14502.6
33000 -14487.1
34000 -14506.3
35000 -14539.9
36000 -14494.8
37000 -14529.4
38000 -14523.9
39000 -14490.8
40000 -14496.4
41000 -14579.4
42000 -14595.3
43000 -14563.7
44000 -14599.8
45000 -14564.7
46000 -14591.6
47000 -14616.1
48000 -14537.6
49000 -14541.2
50000 -14524.1
51000 -14487.6
52000 -14565.2
53000 -14579.8
54000 -14652.3
55000 -14692.1
56000 -14702.5
57000 -14677.9
58000 -14715.4
59000 -14814.3
60000 -14782.8
61000 -14830.5
62000 -14847.6
63000 -14892
64000 -14909.1
65000 -14981.3
66000 -14993.8
67000 -14971.2
68000 -14978.1
69000 -15074.1
70000 -15101.6
71000 -15088.7
72000 -15149.8
73000 -15174.2
74000 -15185.1
75000 -15209.9
76000 -15265.7
77000 -15259.4
78000 -15289.9
79000 -15342.5
80000 -15328.2
81000 -15367.4
82000 -15421.5
83000 -15394.5
84000 -15460.4
85000 -15475.8
86000 -15562.8
87000 -15545.2
88000 -15557.4
89000 -15573.7
90000 -15610.9
91000 -15694.7
92000 -15695.6
93000 -15694.8
94000 -15724.8
95000 -15761.4
96000 -15804.4
97000 -15831.3
98000 -15851.4
99000 -15886.5
100000 -15908.9
101000 -15893.1
102000 -15928.1
103000 -15932.3
104000 -15954.6
105000 -15945.7
106000 -15967.2
107000 -15972.1
108000 -15985.2
109000 -16004.4
110000 -16046.8
111000 -16073.7
112000 -16099.2
113000 -16107.5
114000 -16116.6
115000 -16130.7
116000 -16136.7
117000 -16149.4
118000 -16162.1
119000 -16167
120000 -16170.1
121000 -16199.7
122000 -16208.2
123000 -16220
124000 -16239.3
125000 -16235.2
126000 -16228.9
127000 -16266.5
128000 -16257.6
129000 -16280
130000 -16307.6
131000 -16305.1
132000 -16338.4
133000 -16342.5
134000 -16356.7
135000 -16374.8
136000 -16377.3
137000 -16378.2
138000 -16382.4
139000 -16377
140000 -16393.7
141000 -16412.6
142000 -16414
143000 -16443.5
144000 -16468
145000 -16448.6
146000 -16474.4
147000 -16478
148000 -16492
149000 -16529.3
150000 -16536.8
151000 -16530.6
152000 -16540.3
153000 -16551.7
154000 -16571.8
155000 -16592.4
156000 -16595.5
157000 -16600.7
158000 -16619.1
159000 -16624.6
160000 -16633.2
161000 -16643.9
162000 -16651.4
163000 -16644.1
164000 -16645
165000 -16668
166000 -16693.6
167000 -16678.7
168000 -16695.5
169000 -16703.6
170000 -16713.7
171000 -16721.4
172000 -16723.1
173000 -16734.2
174000 -16741.8
175000 -16740.1
176000 -16752.4
177000 -16760.2
178000 -16775
179000 -16773.4
180000 -16793.7
181000 -16793.6
182000 -16797.7
183000 -16814.1
184000 -16826.7
185000 -16822.3
186000 -16829.9
187000 -16835.5
188000 -16841.8
189000 -16850
190000 -16853
191000 -16862.7
192000 -16868
193000 -16878.4
194000 -16878.1
195000 -16891.2
196000 -16900.5
197000 -16904.6
198000 -16917.9
199000 -16917.8
200000 -16934.9
201000 -16930.7
202000 -16944.8
