# Time-averaged data for fix myat1
# TimeStep v_mytemp
1000 8675.95
2000 6035.67
3000 5987.34
4000 5991.8
5000 6008.2
6000 6007.11
7000 5984.82
8000 6011.31
9000 5984.53
10000 5997.78
11000 6007.79
12000 5987.02
13000 6007.73
14000 5981
15000 6003.17
16000 6004.81
17000 5982.82
18000 6002.65
19000 5922.86
20000 5954.53
21000 6016.91
22000 6005.5
23000 6006.05
24000 5928.2
25000 5977.65
26000 5957.03
27000 6016.1
28000 6039.01
29000 5996.88
30000 6003.65
31000 6017.39
32000 6028.04
33000 5999.08
34000 6010.21
35000 5957.19
36000 6023.77
37000 6020.78
38000 5969.54
39000 6039.66
40000 6024.14
41000 5998.68
42000 5953.59
43000 6041.99
44000 6001.75
45000 6031.39
46000 5983.34
47000 5968.63
48000 6012.72
49000 6030.86
50000 5999.4
51000 6022.2
52000 5953.52
53000 5938.34
54000 5847.72
55000 5793.08
56000 5796.81
57000 5757.8
58000 5721.51
59000 5609.59
60000 5628.24
61000 5584.91
62000 5568.88
63000 5538.56
64000 5469.36
65000 5406.19
66000 5375.87
67000 5353.88
68000 5351.15
69000 5242.43
70000 5244.99
71000 5211.27
72000 5160.59
73000 5102.04
74000 5056.45
75000 5039.67
76000 4966.42
77000 4953.22
78000 4870.89
79000 4840.97
80000 4836.17
81000 4805.42
82000 4720.06
83000 4737.96
84000 4691.95
85000 4653.22
86000 4556.93
87000 4541.3
88000 4527.67
89000 4438.31
90000 4446.71
91000 4344.28
92000 4350.71
93000 4323.14
94000 4272.21
95000 4204.01
96000 4189.41
97000 4143.83
98000 4089.93
99000 4075.18
100000 4039.37
101000 4020.75
102000 3978.19
103000 3985.01
104000 3931.74
105000 3939.35
106000 3877.58
107000 3914.98
108000 3860.84
109000 3849.74
110000 3822.36
111000 3801.71
112000 3799.01
113000 3745.65
114000 3747.04
115000 3707.33
116000 3714.89
117000 3702.3
118000 3675.89
119000 3628.73
120000 3642.12
121000 3601.67
122000 3618.64
123000 3588.73
124000 3554.73
125000 3568.55
126000 3531.8
127000 3487.04
128000 3492.56
129000 3490.73
130000 3428.19
131000 3437.55
132000 3391.41
133000 3405.91
134000 3377.98
135000 3349.63
136000 3327.12
137000 3345.51
138000 3308.95
139000 3298.68
140000 3284.74
141000 3244.49
142000 3256.35
143000 3232.55
144000 3163.06
145000 3195.8
146000 3149.61
147000 3141.75
148000 3147.84
149000 3089.88
150000 3072.08
151000 3066.08
152000 3052.46
153000 3039.67
154000 3009.77
155000 2983.88
156000 2962.18
157000 2954.27
158000 2931.63
159000 2913.36
160000 2913.26
161000 2885.75
162000 2847.55
163000 2851.97
164000 2840.5
165000 2814.51
166000 2756.67
167000 2776.58
168000 2770.16
169000 2732.2
170000 2708.67
171000 2677.47
172000 2676.61
173000 2666.09
174000 2649.67
175000 2648.24
176000 2597.32
177000 2601.53
178000 2569.04
179000 2568.49
180000 2533.19
181000 2518.78
182000 2509.79
183000 2470.73
184000 2429.27
185000 2437.2
186000 2421.77
187000 2395.11
188000 2373.88
189000 2360.14
190000 2354.69
191000 2334.88
192000 2327.22
193000 2293.38
194000 2289.13
195000 2265
196000 2248.16
197000 2221.95
198000 2192.26
199000 2188.55
200000 2143.87
201000 2154.01
202000 2113.88
203000 2094.26
204000 2084.91
205000 2083.05
206000 2059.25
207000 2030.61
208000 2008.39
209000 2001.65
210000 1975.47
211000 1947.28
212000 1928.32
213000 1916.64
214000 1896.04
215000 1875.6
216000 1864.64
217000 1850.92
218000 1821.86
219000 1809.05
220000 1806.24
221000 1781.35
222000 1751.35
223000 1754.1
224000 1717.6
225000 1698.07
226000 1684.17
227000 1671.54
228000 1648.35
229000 1631.84
230000 1611.18
231000 1597.21
232000 1578.67
233000 1554.18
234000 1531.89
235000 1515.16
236000 1498.46
237000 1474.62
238000 1458.42
239000 1425.36
240000 1411.67
241000 1386.08
242000 1379.4
243000 1374.6
244000 1350.58
245000 1328.01
246000 1300.77
247000 1287.87
248000 1266.61
249000 1247.03
250000 1235.69
251000 1202.83
252000 1199.34
253000 1178.64
254000 1159.31
255000 1131.27
256000 1134.98
257000 1095.76
258000 1093.3
259000 1061.73
260000 1044.11
261000 1031.1
262000 1009.25
263000 990.363
264000 979.989
265000 962.267
266000 946.35
267000 922.259
268000 908.215
269000 889.491
270000 870.401
271000 847.92
272000 834.316
273000 808.986
274000 790.186
275000 774.473
276000 758.294
277000 738.85
278000 717.986
279000 704.262
280000 681.986
281000 659.207
282000 642.925
283000 622.036
284000 606.054
285000 588.34
286000 568.53
287000 550.641
288000 530.003
289000 512.192
290000 494.167
291000 476.278
292000 457.734
293000 438.654
294000 420.79
295000 401.837
296000 384.23
297000 363.677
298000 346.817
299000 327.877
300000 309.328
301000 301.502
302000 303.107
303000 300.175
304000 298.202
305000 298.509
306000 298.49
307000 301.099
308000 300.914
309000 302.268
310000 299.697
311000 297.019
312000 299.53
313000 296.845
314000 299.233
315000 296.673
316000 300.162
317000 301.139
318000 299.577
319000 297.389
320000 299.836
321000 298.47
322000 298.585
323000 297.195
324000 299.127
325000 299.965
326000 300.281
327000 300.198
328000 300.318
329000 300.62
330000 300.335
331000 299.75
332000 300.552
333000 302.747
334000 300.572
335000 302.056
336000 300.299
337000 300.093
338000 299.421
339000 300.047
340000 297.371
341000 299.281
342000 302.03
343000 300.535
344000 301.064
345000 299.689
346000 299.043
347000 301.13
348000 299.612
349000 299.655
350000 300.83
