# Chunk-averaged data for fix myac1 and group H2O
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass vx
200000 42 1203.0000000000002
  1 -20.5 0 0 0
  2 -19.5 0 0 0
  3 -18.5 0 0 0
  4 -17.5 0 0 0
  5 -16.5 0 0 0
  6 -15.5 0 0 0
  7 -14.5 0 0 0
  8 -13.5 0 0 0
  9 -12.5 0 0 0
  10 -11.5 0 0 0
  11 -10.5 1.65813 0.0047235 -0.000117585
  12 -9.5 52.3707 0.820826 -0.000193448
  13 -8.5 95.8305 1.76908 -0.000160025
  14 -7.5 38.5579 0.467297 -0.000168952
  15 -6.5 59.3701 1.07391 -0.000163879
  16 -5.5 68.1807 1.20553 -0.000131777
  17 -4.5 50.8291 0.840841 -0.000130662
  18 -3.5 58.1342 1.02626 -9.22985e-05
  19 -2.5 61.4878 1.05806 -6.1706e-05
  20 -1.5 56.9697 0.970269 -5.48149e-05
  21 -0.5 58.0585 0.997481 -2.98014e-05
  22 0.5 59.4055 1.02257 7.14967e-06
  23 1.5 57.6467 0.970444 4.33092e-05
  24 2.5 60.4849 1.03264 7.24876e-05
  25 3.5 58.4927 1.03745 0.000112677
  26 4.5 51.0878 0.826487 0.000129284
  27 5.5 69.8907 1.20309 0.000136549
  28 6.5 63.5233 1.13177 0.000166132
  29 7.5 35.2675 0.410269 0.000165239
  30 8.5 91.8081 1.70339 0.000188829
  31 9.5 52.4839 0.839508 0.000211071
  32 10.5 1.46193 0.00416459 0.000149758
  33 11.5 0 0 0
  34 12.5 0 0 0
  35 13.5 0 0 0
  36 14.5 0 0 0
  37 15.5 0 0 0
  38 16.5 0 0 0
  39 17.5 0 0 0
  40 18.5 0 0 0
  41 19.5 0 0 0
  42 20.5 0 0 0
