# Time-averaged data for fix myat1
# TimeStep v_deltaz
0 28.28
100 28.2597
200 28.2259
300 28.1996
400 28.1704
500 28.166
600 28.1873
700 28.2372
800 28.2923
900 28.3653
1000 28.4391
1100 28.5076
1200 28.5756
1300 28.6629
1400 28.7731
1500 28.9005
1600 29.0369
1700 29.1564
1800 29.244
1900 29.319
2000 29.4089
2100 29.517
2200 29.6019
2300 29.6805
2400 29.7686
2500 29.8482
2600 29.9336
2700 30.0315
2800 30.1037
2900 30.165
3000 30.2434
3100 30.3155
3200 30.3626
3300 30.3843
3400 30.405
3500 30.4342
3600 30.4695
3700 30.4774
3800 30.4669
3900 30.4421
4000 30.4197
4100 30.4179
4200 30.4065
4300 30.38
4400 30.3458
4500 30.3095
4600 30.2717
4700 30.2329
4800 30.172
4900 30.0895
5000 30.0259
5100 29.957
5200 29.859
5300 29.7537
5400 29.639
5500 29.5085
5600 29.3847
5700 29.2784
5800 29.182
5900 29.1043
6000 29.026
6100 28.9356
6200 28.854
6300 28.75
6400 28.6533
6500 28.5779
6600 28.5071
6700 28.4577
6800 28.4316
6900 28.4125
7000 28.409
7100 28.4208
7200 28.4221
7300 28.4309
7400 28.4454
7500 28.4645
7600 28.4926
7700 28.5394
7800 28.5912
7900 28.6357
8000 28.6826
8100 28.7256
8200 28.7558
8300 28.7634
8400 28.7493
8500 28.7289
8600 28.7182
8700 28.72
8800 28.7274
8900 28.7346
9000 28.7343
9100 28.7411
9200 28.7657
9300 28.8115
9400 28.8603
9500 28.8928
9600 28.9248
9700 28.9486
9800 28.9734
9900 29.0014
10000 29.0418
10100 29.0789
10200 29.0983
10300 29.0938
10400 29.1048
10500 29.1096
10600 29.1037
10700 29.0909
10800 29.059
10900 29.0394
11000 29.0089
11100 28.9567
11200 28.9051
11300 28.8556
11400 28.8092
11500 28.7782
11600 28.7398
11700 28.6899
11800 28.6435
11900 28.5949
12000 28.5384
12100 28.4698
12200 28.4178
12300 28.3784
12400 28.3396
12500 28.3059
12600 28.2756
12700 28.242
12800 28.2137
12900 28.1909
13000 28.1571
13100 28.1066
13200 28.0793
13300 28.0676
13400 28.0609
13500 28.0694
13600 28.0889
13700 28.1218
13800 28.1558
13900 28.176
14000 28.1778
14100 28.1835
14200 28.1987
14300 28.2115
14400 28.2153
14500 28.1939
14600 28.1501
14700 28.1178
14800 28.1141
14900 28.1366
15000 28.1503
15100 28.1465
15200 28.1296
15300 28.1317
15400 28.1262
15500 28.1024
15600 28.0762
15700 28.0478
15800 28.0162
15900 27.9955
16000 27.9755
16100 27.9516
16200 27.9258
16300 27.8948
16400 27.8806
16500 27.8784
16600 27.8845
16700 27.9047
16800 27.9188
16900 27.9549
17000 28.006
17100 28.0292
17200 28.0371
17300 28.0306
17400 28.0195
17500 28.0141
17600 28.0043
17700 28.0099
17800 28.0253
17900 28.0452
18000 28.0522
18100 28.0566
18200 28.0507
18300 28.0558
18400 28.0727
18500 28.0803
18600 28.0656
18700 28.0306
18800 28.0043
18900 27.9805
19000 27.9639
19100 27.9304
19200 27.8841
19300 27.8526
19400 27.8149
19500 27.7967
19600 27.8074
19700 27.8148
19800 27.8142
19900 27.7972
20000 27.7704
20100 27.7447
20200 27.7301
20300 27.7213
20400 27.7151
20500 27.6902
20600 27.6724
20700 27.6856
20800 27.7169
20900 27.7406
21000 27.7452
21100 27.7315
21200 27.719
21300 27.7075
21400 27.7402
21500 27.7706
21600 27.795
21700 27.8401
21800 27.8906
21900 27.9158
22000 27.9164
22100 27.907
22200 27.9048
22300 27.9179
22400 27.9189
22500 27.9037
22600 27.8868
22700 27.8679
22800 27.8498
22900 27.8548
23000 27.8728
23100 27.8734
23200 27.8697
23300 27.8817
23400 27.9251
23500 27.9398
23600 27.937
23700 27.9363
23800 27.9497
23900 27.9663
24000 27.9795
24100 27.9993
24200 27.9826
24300 27.9688
24400 27.9612
24500 27.9383
24600 27.9123
24700 27.8844
24800 27.846
24900 27.8225
25000 27.7903
25100 27.7485
25200 27.7051
25300 27.6604
25400 27.6192
25500 27.5925
25600 27.5882
25700 27.5666
25800 27.5347
25900 27.5099
26000 27.4706
26100 27.4491
26200 27.4606
26300 27.4919
26400 27.5183
26500 27.5288
26600 27.5356
26700 27.5276
26800 27.5096
26900 27.4898
27000 27.4767
27100 27.4625
27200 27.4545
27300 27.4382
27400 27.4215
27500 27.4254
27600 27.4158
27700 27.4025
27800 27.3849
27900 27.3573
28000 27.3519
28100 27.337
28200 27.3203
28300 27.2946
28400 27.2749
28500 27.2699
28600 27.2643
28700 27.2341
28800 27.1976
28900 27.1545
29000 27.1124
29100 27.0791
29200 27.0416
29300 27.0008
29400 26.961
29500 26.9569
29600 26.9647
29700 26.9753
29800 26.9901
29900 26.9974
30000 27.0037
