# Time-averaged data for fix myat1
# TimeStep f_mysf1[1] f_mysf2[1]
1000 -1.71019 -0.0331193
2000 2.9626 6.19134
3000 -6.37108 0.721973
4000 -2.67892 -2.13773
5000 -4.41095 0.919723
6000 -0.796566 9.05459
7000 -3.4828 1.70449
8000 -0.251419 -0.591686
9000 0.426915 -0.298446
10000 -2.33862 -0.652498
11000 -1.8052 3.138
12000 -1.5491 1.43272
13000 0.955041 2.71141
14000 -0.0656175 -0.974891
15000 -4.62824 -0.173202
16000 1.85927 4.86781
17000 -3.22533 2.94906
18000 -4.45581 2.37709
19000 -6.37436 4.43454
20000 2.67249 3.25655
21000 -2.20707 2.79935
22000 -7.40438 0.657833
23000 -6.77022 9.47699
24000 -2.91249 3.89691
25000 -2.64594 1.5824
26000 -5.51501 4.26738
27000 1.05703 1.36228
28000 -0.884644 0.160592
29000 -5.81906 2.51996
30000 1.60172 0.750903
31000 -6.26643 3.44457
32000 -4.46571 3.23751
33000 5.87704 1.12293
34000 -3.98251 5.40729
35000 -3.16165 -2.13363
36000 -1.55533 1.20947
37000 -0.99733 6.15557
38000 -5.05861 1.45676
39000 1.25489 2.27181
40000 -10.2763 -1.20069
41000 -0.401345 5.13256
42000 3.83224 5.72103
43000 -0.664168 2.19481
44000 -11.5979 -1.83143
45000 -0.85235 4.91193
46000 -3.73259 5.23478
47000 0.411351 -0.444835
48000 -1.92969 1.23643
49000 0.520096 3.6638
50000 1.65074 3.92999
51000 -10.3009 5.1063
52000 -5.41817 0.957694
53000 -6.20377 7.72777
54000 -5.45432 3.00514
55000 -5.55087 5.67027
56000 -5.78789 3.52281
57000 -5.96998 2.20488
58000 -2.54014 6.54876
59000 1.00854 7.23925
60000 -5.03996 -1.61971
61000 -3.46402 6.77742
62000 -2.4879 1.80749
63000 -5.57909 2.52812
64000 0.51222 4.35724
65000 -2.29501 -2.04722
66000 -3.90506 3.3543
67000 -4.42724 1.09685
68000 -5.90237 4.0387
69000 4.52779 -0.413215
70000 2.48318 6.00229
71000 -5.86937 3.48979
72000 -7.01738 2.88618
73000 -1.58943 2.34737
74000 -6.69169 6.02047
75000 -3.04373 6.1916
76000 -10.3638 2.97571
77000 -2.94348 8.02676
78000 -0.488969 1.4491
79000 -2.72447 2.51879
80000 -5.2572 1.88259
81000 3.64902 0.442952
82000 -3.0592 2.64198
83000 -3.92546 3.9607
84000 -1.74084 -1.67626
85000 -0.897762 2.40199
86000 0.688654 -2.42612
87000 -0.510232 8.09481
88000 -0.222298 2.4121
89000 -12.3925 -0.138235
90000 -3.71592 6.84987
91000 1.45693 4.26153
92000 -10.6926 2.68768
93000 -0.281627 4.37252
94000 -6.48725 2.16489
95000 0.121401 7.25367
96000 -2.77048 4.93415
97000 0.0632309 -2.14272
98000 -2.29706 3.93084
99000 -4.67409 2.46741
100000 -1.03104 -3.8245
101000 -1.37025 4.00993
102000 0.293365 4.64958
103000 -2.90103 4.02953
104000 -3.86426 4.07541
105000 -3.83415 0.239417
106000 -2.38645 -0.765005
107000 -4.36258 1.76141
108000 -1.48462 7.55288
109000 -7.63479 -2.55183
110000 -2.73251 6.39456
111000 -2.77304 9.07515
112000 -3.39492 4.04979
113000 -4.60245 4.89288
114000 -1.87467 2.1388
115000 -0.232508 1.59629
116000 -3.58587 2.46215
117000 -2.92898 -1.49473
118000 -6.72275 6.18706
119000 -8.43067 4.40793
120000 1.76105 6.54179
121000 -3.43334 6.14535
122000 -6.26787 5.3774
