# Chunk-averaged data for fix myac3 and group ions
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass vx
200000 42 30.000000000000007
  1 -20.5 0 0 0
  2 -19.5 0 0 0
  3 -18.5 0 0 0
  4 -17.5 0 0 0
  5 -16.5 0 0 0
  6 -15.5 0 0 0
  7 -14.5 0 0 0
  8 -13.5 0 0 0
  9 -12.5 0 0 0
  10 -11.5 0 0 0
  11 -10.5 0 0 0
  12 -9.5 0.158667 0.0133256 -0.000291948
  13 -8.5 4.60367 0.447659 -0.000200083
  14 -7.5 1.48973 0.134249 -0.000126056
  15 -6.5 2.07367 0.181349 -0.000146708
  16 -5.5 2.4908 0.220589 -0.000144827
  17 -4.5 1.71367 0.148066 -0.000127394
  18 -3.5 0.8774 0.078778 -8.48717e-05
  19 -2.5 0.713133 0.0606112 -8.14871e-05
  20 -1.5 0.798333 0.0682064 -1.30216e-05
  21 -0.5 0.936467 0.0824141 -1.14734e-05
  22 0.5 0.484133 0.0431612 -1.68239e-05
  23 1.5 0.248933 0.0215355 0.000196781
  24 2.5 0.5084 0.0448205 5.68773e-05
  25 3.5 0.543067 0.0464114 0.000142956
  26 4.5 0.765333 0.0629372 0.000119405
  27 5.5 0.714933 0.0672135 0.000242807
  28 6.5 0.834 0.0791006 0.000143466
  29 7.5 1.69733 0.152552 0.000203975
  30 8.5 8.12033 0.759884 0.000185733
  31 9.5 0.228 0.0189487 0.000242237
  32 10.5 0 0 0
  33 11.5 0 0 0
  34 12.5 0 0 0
  35 13.5 0 0 0
  36 14.5 0 0 0
  37 15.5 0 0 0
  38 16.5 0 0 0
  39 17.5 0 0 0
  40 18.5 0 0 0
  41 19.5 0 0 0
  42 20.5 0 0 0
