# Chunk-averaged data for fix myac2 and group wall
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass vx
200000 42 432
  1 -20.5 0 0 0
  2 -19.5 0 0 0
  3 -18.5 0 0 0
  4 -17.5 0 0 0
  5 -16.5 0.239133 0.0182343 -0.0002
  6 -15.5 71.7601 5.47184 -0.0002
  7 -14.5 0.1074 0.00818944 -0.0002
  8 -13.5 71.8927 5.48195 -0.0002
  9 -12.5 0.0784 0.00597814 -0.0002
  10 -11.5 71.9181 5.48388 -0.0002
  11 -10.5 0.00413333 0.000315174 -0.0002
  12 -9.5 0 0 0
  13 -8.5 0 0 0
  14 -7.5 0 0 0
  15 -6.5 0 0 0
  16 -5.5 0 0 0
  17 -4.5 0 0 0
  18 -3.5 0 0 0
  19 -2.5 0 0 0
  20 -1.5 0 0 0
  21 -0.5 0 0 0
  22 0.5 0 0 0
  23 1.5 0 0 0
  24 2.5 0 0 0
  25 3.5 0 0 0
  26 4.5 0 0 0
  27 5.5 0 0 0
  28 6.5 0 0 0
  29 7.5 0 0 0
  30 8.5 0 0 0
  31 9.5 0 0 0
  32 10.5 6.66667e-05 5.08345e-06 0.0002
  33 11.5 71.9854 5.48901 0.0002
  34 12.5 0.0145333 0.00110819 0.0002
  35 13.5 71.986 5.48906 0.0002
  36 14.5 0.014 0.00106752 0.0002
  37 15.5 71.9139 5.48356 0.0002
  38 16.5 0.0860667 0.00656274 0.0002
  39 17.5 0 0 0
  40 18.5 0 0 0
  41 19.5 0 0 0
  42 20.5 0 0 0
