# Time-averaged data for fix myat2
# TimeStep v_myvol
100 80391.6
200 78151.1
300 76337
400 74847
500 73516.4
600 72527.3
700 71662.4
800 70959.9
900 70470.7
1000 70033.1
1100 69441.7
1200 68752.1
1300 67988.6
1400 67230
1500 66461.9
1600 65594.8
1700 64788.3
1800 64079.7
1900 63417.8
2000 62605
2100 61786.5
2200 61109.9
2300 60511.8
2400 59797
2500 59086.1
2600 58414.2
2700 57707.1
2800 57137.8
2900 56698.9
3000 56361.3
3100 56066.2
3200 55555.4
3300 54820.4
3400 54136.4
3500 53552.5
3600 53055
3700 52565.3
3800 52141.9
3900 51802.1
4000 51335.4
4100 50765.7
4200 50309.2
4300 49847.2
4400 49477.9
4500 49147.3
4600 48771.4
4700 48445.2
4800 48199.7
4900 47830.7
5000 47434.1
5100 47108.2
5200 46907.7
5300 46708.9
5400 46445.2
5500 46057.6
5600 45614.4
5700 45181.8
5800 44803.4
5900 44463.1
6000 44129.8
6100 43713.8
6200 43382.6
6300 43133.2
6400 42895.8
6500 42671.3
6600 42446.7
6700 42167.2
6800 41858.1
6900 41511.6
7000 41259.5
7100 41048
7200 40798.2
7300 40485.4
7400 40188
7500 39799.4
7600 39432.8
7700 39197.3
7800 39048.5
7900 38897
8000 38779.8
8100 38654.4
8200 38617.9
8300 38570.2
8400 38472.8
8500 38326.2
8600 38177.1
8700 38030.8
8800 37920
8900 37828.5
9000 37734.9
9100 37611.9
9200 37437.4
9300 37247.6
9400 37109.5
9500 37042.3
9600 37013.2
9700 36864.3
9800 36673.7
9900 36444.6
10000 36304.9
10100 36263.1
10200 36135
10300 35954.9
10400 35808
10500 35623.6
10600 35468
10700 35349.6
10800 35321.7
10900 35329.3
11000 35296.7
11100 35183.2
11200 35060.9
11300 35032.1
11400 35143.2
11500 35266.9
11600 35354.2
11700 35390.3
11800 35277.1
11900 35088
12000 34943.9
12100 34861.9
12200 34775.9
12300 34631.4
12400 34503.8
12500 34318.5
12600 34018.6
12700 33782
12800 33675.9
12900 33607.5
13000 33454.3
13100 33269.9
13200 33118.3
13300 32978
13400 32858.2
13500 32772
13600 32721.8
13700 32766.7
13800 32802.5
13900 32779.4
14000 32870.3
14100 32945.3
14200 32938.7
14300 32949.3
14400 32960.9
14500 32887.9
14600 32838.5
14700 32883.7
14800 33008.5
14900 33106.5
15000 33128.1
15100 33128.2
15200 33129.9
15300 33128.7
15400 33174.5
15500 33271.1
15600 33458
15700 33499.3
15800 33415
15900 33250.7
16000 33181.1
16100 33158.9
16200 33127.9
16300 33025.6
16400 32976.2
16500 33025
16600 33016.5
16700 33024.5
16800 33031.1
16900 33105.2
17000 33193.6
17100 33304.5
17200 33456.7
17300 33567.5
17400 33603.1
17500 33616.4
17600 33576.2
17700 33499.6
17800 33516
17900 33601.3
18000 33627.8
18100 33714.2
18200 33694.1
18300 33527.6
18400 33320.4
18500 33165.4
18600 33073.2
18700 33084.5
18800 33184.8
18900 33265.6
19000 33366
19100 33397.7
19200 33372
19300 33380.7
19400 33346.1
19500 33240.9
19600 33057.7
19700 32907.9
19800 32827.5
19900 32788.9
20000 32796.6
