# Time-averaged data for fix myat3
# TimeStep v_mydensity
100 0.0130616
200 0.0134364
300 0.0137553
400 0.0140291
500 0.0142828
600 0.0144775
700 0.0146522
800 0.0147972
900 0.0148998
1000 0.014993
1100 0.0151207
1200 0.0152724
1300 0.015444
1400 0.0156182
1500 0.0157987
1600 0.0160076
1700 0.0162068
1800 0.016386
1900 0.016557
2000 0.0167721
2100 0.0169942
2200 0.0171823
2300 0.0173522
2400 0.0175596
2500 0.0177709
2600 0.0179753
2700 0.0181956
2800 0.0183767
2900 0.018519
3000 0.0186298
3100 0.0187279
3200 0.0189003
3300 0.0191537
3400 0.0193957
3500 0.0196071
3600 0.0197909
3700 0.0199753
3800 0.0201374
3900 0.0202695
4000 0.0204539
4100 0.0206834
4200 0.0208711
4300 0.0210645
4400 0.0212217
4500 0.0213644
4600 0.0215291
4700 0.021674
4800 0.0217845
4900 0.0219526
5000 0.0221361
5100 0.0222891
5200 0.0223844
5300 0.0224797
5400 0.0226074
5500 0.0227977
5600 0.0230192
5700 0.0232396
5800 0.0234359
5900 0.0236152
6000 0.0237936
6100 0.0240201
6200 0.0242033
6300 0.0243433
6400 0.024478
6500 0.0246067
6600 0.024737
6700 0.024901
6800 0.0250849
6900 0.0252943
7000 0.0254487
7100 0.0255799
7200 0.0257366
7300 0.0259354
7400 0.0261273
7500 0.0263825
7600 0.0266277
7700 0.0267876
7800 0.0268897
7900 0.0269944
8000 0.027076
8100 0.0271638
8200 0.0271895
8300 0.0272231
8400 0.0272921
8500 0.0273964
8600 0.0275034
8700 0.0276092
8800 0.0276899
8900 0.0277569
9000 0.0278257
9100 0.0279167
9200 0.0280469
9300 0.0281898
9400 0.0282947
9500 0.028346
9600 0.0283683
9700 0.0284829
9800 0.0286309
9900 0.0288109
10000 0.0289217
10100 0.0289551
10200 0.0290577
10300 0.0292033
10400 0.0293231
10500 0.0294749
10600 0.0296042
10700 0.0297034
10800 0.0297268
10900 0.0297204
11000 0.0297478
11100 0.0298439
11200 0.0299479
11300 0.0299725
11400 0.0298778
11500 0.029773
11600 0.0296995
11700 0.0296692
11800 0.0297644
11900 0.0299248
12000 0.0300482
12100 0.0301188
12200 0.0301934
12300 0.0303193
12400 0.0304315
12500 0.0305959
12600 0.0308656
12700 0.0310817
12800 0.0311796
12900 0.031243
13000 0.0313861
13100 0.0315601
13200 0.0317046
13300 0.0318395
13400 0.0319555
13500 0.0320395
13600 0.0320887
13700 0.0320447
13800 0.0320098
13900 0.0320323
14000 0.0319437
14100 0.0318711
14200 0.0318774
14300 0.0318672
14400 0.0318559
14500 0.0319267
14600 0.0319747
14700 0.0319308
14800 0.03181
14900 0.0317158
15000 0.0316952
15100 0.031695
15200 0.0316934
15300 0.0316946
15400 0.0316508
15500 0.031559
15600 0.0313827
15700 0.031344
15800 0.031423
15900 0.0315783
16000 0.0316445
16100 0.0316658
16200 0.0316954
16300 0.0317935
16400 0.0318412
16500 0.0317941
16600 0.0318023
16700 0.0317946
16800 0.0317882
16900 0.0317171
17000 0.0316326
17100 0.0315273
17200 0.0313839
17300 0.0312803
17400 0.0312471
17500 0.0312347
17600 0.0312722
17700 0.0313437
17800 0.0313283
17900 0.0312488
18000 0.0312242
18100 0.0311442
18200 0.0311628
18300 0.0313175
18400 0.0315124
18500 0.0316595
18600 0.0317478
18700 0.031737
18800 0.031641
18900 0.0315642
19000 0.0314692
19100 0.0314393
19200 0.0314635
19300 0.0314553
19400 0.0314879
19500 0.0315876
19600 0.0317628
19700 0.0319072
19800 0.0319854
19900 0.0320231
20000 0.0320155
