# Time-averaged data for fix myat3
# TimeStep v_myenthalpy
100 -6454.94
200 -6480.68
300 -6562.42
400 -6715.05
500 -6668.57
600 -6828.45
700 -6383.81
800 -6238.15
900 -6399.69
1000 -6637.69
1100 -6571.66
1200 -6566.42
1300 -6440.72
1400 -6598.31
1500 -6698.03
1600 -6357.33
1700 -6406.84
1800 -6533.27
1900 -6537.24
2000 -6696.29
2100 -6663.69
2200 -6463.07
2300 -6363.7
2400 -6518.97
2500 -6396.79
2600 -6602.6
2700 -6753.32
2800 -6504.36
2900 -6252.57
3000 -6606.63
3100 -6588.27
3200 -6489.34
3300 -6449.46
3400 -6421.6
3500 -6670.8
3600 -6570.84
3700 -6545.58
3800 -6582.42
3900 -6672.13
4000 -6501.33
4100 -6447.66
4200 -6233.52
4300 -6537.76
4400 -6998.44
4500 -6804.77
4600 -6538.73
4700 -6651.58
4800 -6771.11
4900 -6426.1
5000 -6414.64
5100 -6723.62
5200 -6729.6
5300 -6307.94
5400 -6287.75
5500 -6442.6
5600 -6478.58
5700 -6350.61
5800 -6894
5900 -6401.84
6000 -6723.54
6100 -6526.34
6200 -6434.22
6300 -6654.73
6400 -6397.6
6500 -6470.61
6600 -6399.82
6700 -6363.18
6800 -6529.13
6900 -6440.34
7000 -6685.77
7100 -6438.76
7200 -6719.68
7300 -6773.06
7400 -6743.24
7500 -6796.12
7600 -6452.69
7700 -6378.79
7800 -6505.26
7900 -6672.26
8000 -6493.15
8100 -6317.18
8200 -6362.76
8300 -6672.29
8400 -6726.08
8500 -6966.47
8600 -6994.95
8700 -6568.7
8800 -6560.12
8900 -6509.99
9000 -6728.6
9100 -6749.67
9200 -6836.97
9300 -6698.17
9400 -6384.79
9500 -6614.83
9600 -6441.79
9700 -6747.08
9800 -6533.29
9900 -6109.13
10000 -6580.26
10100 -6864.15
10200 -6666.45
10300 -6594.37
10400 -6749.05
10500 -6662.9
10600 -6655.55
10700 -6968.76
10800 -6647.11
10900 -6484.78
11000 -6763.93
11100 -6911.85
11200 -6694.31
11300 -6298.74
11400 -6423.04
11500 -6590.17
11600 -6573.49
11700 -6532.39
11800 -6617.03
11900 -6469.82
12000 -6619.62
12100 -6369.22
12200 -6314.15
12300 -6581.19
12400 -6774.13
12500 -6768.69
12600 -6629.91
12700 -6522.08
12800 -6389.71
12900 -6410.22
13000 -6847.11
13100 -6918.91
13200 -6616.39
13300 -6179.83
13400 -6484.7
13500 -6469.59
13600 -6451.51
13700 -6425.34
13800 -6745.4
13900 -6601.9
14000 -6682.63
14100 -6551.59
14200 -6555.94
14300 -6431.29
14400 -6352
14500 -6541.21
14600 -6633.54
14700 -6774.5
14800 -6997.36
14900 -6773.77
15000 -6803.12
15100 -6649.76
15200 -6446.25
15300 -6571.17
15400 -6624.77
15500 -6609.98
15600 -6675.13
15700 -6737.19
15800 -6594.04
15900 -6409.75
16000 -6602.51
16100 -6651.17
16200 -6209.33
16300 -6071.52
16400 -6726.95
16500 -6602.58
16600 -6794.94
16700 -6940.58
16800 -6922.03
16900 -6912.95
17000 -6743.55
17100 -6288.93
17200 -6564.24
17300 -6488.05
17400 -6551.14
17500 -6717.44
17600 -6918.96
17700 -6774.55
17800 -6401.92
17900 -6566.24
18000 -6885.04
18100 -6704.08
18200 -6690.83
18300 -6719.52
18400 -6629.26
18500 -6542.83
18600 -6411.16
18700 -6337.29
18800 -6768.36
18900 -6590.49
19000 -6352.58
19100 -6483.74
19200 -6555.29
19300 -6378.8
19400 -6476.63
19500 -6657.77
19600 -6677.47
19700 -6967.73
19800 -7094.75
19900 -6847.47
20000 -6775.76
20100 -6661
20200 -6573.49
20300 -6374.58
20400 -6337.88
20500 -6610.22
20600 -6662.01
20700 -6761.71
20800 -6613.54
20900 -6635.89
21000 -6395.7
21100 -6490.21
21200 -6872.34
21300 -6687.29
21400 -6391.3
21500 -6504.16
21600 -6438.58
21700 -7040.85
21800 -7088.48
21900 -6801.4
22000 -6282.13
22100 -6388.08
22200 -6459
22300 -6770.14
22400 -6769.38
22500 -6753.95
22600 -6642.02
22700 -6880.26
22800 -6567.09
22900 -6669.3
23000 -6727.38
23100 -6473.92
23200 -6398.86
23300 -6597.23
23400 -6925.78
23500 -7017.25
23600 -6566.83
23700 -6448.82
23800 -6602.92
23900 -6199.86
24000 -6628.65
24100 -6791.7
24200 -6577.5
24300 -6555.11
24400 -6623.97
24500 -6599.75
24600 -6692.11
24700 -7019.29
24800 -6925.58
24900 -6611.22
25000 -6599.59
25100 -6685.07
25200 -6583.14
25300 -6769.74
25400 -6609.94
25500 -6654.22
25600 -6617.02
25700 -6400.86
25800 -6617.69
25900 -6576.82
26000 -6649.14
26100 -6394.7
26200 -6551.4
26300 -6538.8
26400 -6483.22
26500 -6778.94
26600 -6688.35
26700 -6663.1
26800 -6433.59
26900 -6457.53
27000 -6584.38
27100 -6756.43
27200 -6898.2
27300 -6889.73
27400 -6586.01
27500 -6485.36
27600 -6668.95
27700 -6471.2
27800 -6568.57
27900 -6594.94
28000 -6296.13
28100 -6626.23
28200 -6922.98
28300 -6961.36
28400 -6779.42
28500 -6504.41
28600 -6586.73
28700 -6915.26
28800 -6714.07
28900 -6622.15
29000 -6496.2
29100 -6485.15
29200 -6946.84
29300 -6682.13
29400 -6364.47
29500 -6536.01
29600 -6869.93
29700 -6904.04
29800 -6446
29900 -6823.75
30000 -6895.61
