# Time-averaged data for fix myat2
# TimeStep v_delta_r
100 39.7356
200 39.4884
300 39.035
400 39.0068
500 39.2001
600 39.0594
700 39.539
800 39.7357
900 39.2388
1000 38.5222
1100 37.9728
1200 37.4692
1300 37.2118
1400 37.1552
1500 36.4747
1600 36.463
1700 36.4956
1800 36.2566
1900 36.2686
2000 36.9693
2100 37.8556
2200 38.1136
2300 38.0845
2400 38.2263
2500 38.6296
2600 38.833
2700 38.9591
2800 38.7392
2900 38.7093
3000 38.8766
3100 38.9916
3200 39.0633
3300 39.1006
3400 39.1788
3500 39.7182
3600 39.5985
3700 39.8785
3800 39.8743
3900 39.5419
4000 39.6469
4100 39.5387
4200 39.7178
4300 40.0357
4400 39.9768
4500 39.8588
4600 40.1668
4700 40.2056
4800 40.3835
4900 40.2653
5000 39.9694
5100 39.8198
5200 40.2578
5300 40.8198
5400 40.9551
5500 40.4665
5600 40.878
5700 41.5255
5800 42.0245
5900 42.1494
6000 42.1188
6100 41.9826
6200 41.5905
6300 41.5182
6400 41.3718
6500 41.0703
6600 40.3344
6700 40.5722
6800 40.9545
6900 40.8175
7000 40.7183
7100 40.3404
7200 40.3917
7300 41.0357
7400 41.2553
7500 41.3687
7600 41.4645
7700 41.2549
7800 40.9936
7900 40.8211
8000 40.9688
8100 41.0854
8200 41.5091
8300 41.8956
8400 42.2705
8500 42.4193
8600 42.3206
8700 42.1479
8800 41.9434
8900 41.473
9000 40.9092
9100 40.3166
9200 39.9262
9300 39.7944
9400 39.5294
9500 39.1037
9600 39.1279
9700 39.1119
9800 39.0693
9900 38.4732
10000 38.2275
10100 38.3378
10200 38.2963
10300 38.595
10400 38.675
10500 38.8294
10600 38.9311
10700 39.0266
10800 38.7107
10900 38.5947
11000 38.7873
11100 38.9249
11200 38.9382
11300 38.8327
11400 38.5679
11500 38.8112
11600 39.1082
11700 39.2456
11800 39.1915
11900 39.2896
12000 39.2061
12100 38.7466
12200 37.9056
12300 37.3566
12400 36.904
12500 37.3663
12600 37.3997
12700 37.4642
12800 37.4086
12900 37.427
13000 37.4759
13100 37.3983
13200 37.7153
13300 37.7312
13400 37.8809
13500 38.15
13600 38.2258
13700 38.4517
13800 38.6723
13900 38.6526
14000 38.5787
14100 38.4875
14200 38.7333
14300 39.1008
14400 39.6042
14500 39.6764
14600 39.9011
14700 39.9572
14800 39.9508
14900 39.5387
15000 39.2456
15100 38.8335
15200 38.9919
15300 39.2677
15400 39.6797
15500 39.7798
15600 39.8581
15700 40.1187
15800 40.2205
15900 40.3284
16000 40.3069
16100 39.8721
16200 39.3703
16300 39.5599
16400 39.7271
16500 39.9418
16600 39.9691
16700 39.8891
16800 39.621
16900 39.0949
17000 39.1304
17100 39.5508
17200 39.6338
17300 39.4819
17400 39.3756
17500 39.4602
17600 39.6329
17700 39.7102
17800 39.861
17900 39.9001
18000 40.0275
18100 39.7465
18200 39.4681
18300 39.3225
18400 39.4013
18500 39.4678
18600 39.6323
18700 39.9475
18800 40.1466
18900 39.9967
19000 39.9423
19100 39.9332
19200 40.0905
19300 39.8682
19400 39.5982
19500 39.2865
19600 38.8667
19700 38.5946
19800 38.8553
19900 38.9568
20000 39.0439
20100 39.2767
20200 39.3337
20300 39.4355
20400 39.3179
20500 39.3191
20600 39.2189
20700 38.7602
20800 39.007
20900 38.8954
21000 38.6158
21100 38.8658
21200 38.9181
21300 38.8638
21400 38.9217
21500 38.4357
21600 37.9559
21700 38.046
21800 37.8588
21900 37.3834
22000 36.5081
22100 36.0193
22200 35.9716
22300 35.7118
22400 35.6711
22500 35.9824
22600 36.3257
22700 36.4625
22800 36.8179
22900 36.9687
23000 37.2622
23100 37.5128
23200 37.5883
23300 37.5593
23400 37.4408
23500 37.6275
23600 37.7702
23700 37.8768
23800 38.2253
23900 38.4909
24000 38.4939
24100 37.944
24200 37.9232
24300 38.1572
24400 37.7574
24500 37.5303
24600 37.4981
24700 37.4021
24800 37.2125
24900 37.2341
25000 36.9371
25100 36.8893
25200 37.1022
25300 37.5238
25400 37.5778
25500 37.4214
25600 37.5276
25700 37.5526
25800 38.0066
25900 38.233
26000 38.4067
26100 38.7639
26200 39.1579
26300 38.6639
26400 38.3689
26500 37.9273
26600 36.991
26700 36.6408
26800 36.5634
26900 36.6512
27000 36.7734
27100 37.165
27200 36.4697
27300 35.7334
27400 35.7096
27500 35.5
27600 34.664
27700 34.4226
27800 34.4315
27900 34.1907
28000 33.6227
28100 32.9978
28200 33.2932
28300 33.9574
28400 34.0138
28500 34.0702
28600 34.4832
28700 34.5251
28800 34.58
28900 34.4584
29000 34.9203
29100 35.3735
29200 34.9223
29300 34.5764
29400 34.4387
29500 33.9648
29600 33.6029
29700 34.0745
29800 34.3904
29900 34.4764
30000 34.9743
30100 35.163
30200 36.1657
30300 37.5385
30400 38.1816
30500 38.3315
30600 38.4494
30700 38.6347
30800 39.3045
30900 39.7386
31000 39.8337
31100 40.1745
31200 40.8373
31300 41.1844
31400 41.3699
31500 41.8628
31600 42.3697
31700 42.6199
31800 43.0439
31900 43.4945
32000 43.7542
32100 43.8551
32200 43.9856
32300 43.961
32400 43.8045
32500 43.957
32600 43.7251
32700 43.8346
32800 44.1992
32900 44.4021
33000 44.6676
33100 44.872
33200 45.4286
33300 45.7449
33400 46.0184
33500 46.1473
33600 46.168
33700 46.1673
33800 46.3155
33900 46.4279
34000 46.3849
34100 46.1436
34200 46.1536
34300 46.577
34400 47.0624
34500 47.1062
34600 47.4862
34700 47.9192
34800 48.0146
34900 48.1181
35000 48.0287
35100 48.1302
35200 48.006
35300 47.9019
35400 47.8596
35500 48.1166
35600 48.5722
35700 48.6809
35800 48.7803
35900 48.3358
36000 47.601
36100 47.3787
36200 47.4965
36300 47.5799
36400 47.9786
36500 48.1274
36600 48.3203
36700 48.3389
36800 48.4406
36900 47.9123
37000 47.5263
37100 47.7435
37200 48.0444
37300 48.4575
37400 48.8421
37500 48.9008
37600 48.4545
37700 48.0912
37800 47.8945
37900 48.3552
38000 48.6087
38100 48.8343
38200 49.3347
38300 49.355
38400 49.1138
38500 48.952
