# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 292.486
200 297.362
300 301.34
400 301.512
500 302.527
600 297.928
700 296.424
800 300.568
900 301.366
1000 303.484
1100 296.614
1200 295.617
1300 303.78
1400 302.757
1500 297.011
1600 292.831
1700 300.527
1800 300.307
1900 303.917
2000 296.672
2100 297.695
2200 306.173
2300 302.585
2400 297.351
2500 300.145
2600 300.782
2700 296.494
2800 303.11
2900 307.117
3000 298.459
3100 297.682
3200 301.031
3300 301.6
3400 298.787
3500 298.779
3600 299.93
3700 300.094
3800 303.139
3900 301.179
4000 302.131
4100 297.585
4200 300.87
4300 296.533
4400 289.092
4500 293.615
4600 301.446
4700 301.499
4800 300.95
4900 298.85
5000 297.671
5100 295.323
5200 294.838
5300 302.601
5400 301.998
5500 299.196
5600 298.333
5700 295.451
5800 293.505
5900 297.553
6000 303.813
6100 304.041
6200 297.078
6300 294.545
6400 298.196
6500 301.643
6600 304.183
6700 300.842
6800 296.112
6900 303.267
7000 301.773
7100 298.864
7200 297.064
7300 291.749
7400 294.47
7500 299.145
7600 300.987
7700 301.153
7800 300.9
7900 295.162
8000 293.701
8100 302.064
8200 301.873
8300 302.211
8400 298.626
8500 292.244
8600 297.973
8700 298.745
8800 299.979
8900 302.691
9000 302.613
9100 296.925
9200 294.717
9300 302.307
9400 305.612
9500 303.293
9600 301.152
9700 297.728
9800 297.684
9900 307.253
10000 301.493
10100 296.987
10200 298.204
10300 299.477
10400 298.396
10500 294.21
10600 297.599
10700 300.709
10800 303.135
10900 299.564
11000 299.019
11100 290.36
11200 293.326
11300 299.287
11400 301.438
11500 300.348
11600 302.779
11700 304.617
11800 297.445
11900 295.816
12000 300.2
12100 300.97
12200 307.058
12300 301.774
12400 298.052
12500 297.742
12600 301.114
12700 304.603
12800 303.384
12900 303.083
13000 300.333
13100 296.492
13200 301.81
13300 303.305
13400 302.232
13500 299.381
13600 298.575
13700 303.212
13800 298.507
13900 293.846
14000 295.801
14100 299.918
14200 302.366
14300 299.282
14400 302.93
14500 298.206
14600 294.964
14700 296.446
14800 296.144
14900 300.679
15000 299.162
15100 301.033
15200 308.04
15300 304.887
15400 298.281
15500 300.608
15600 297.501
15700 301.352
15800 305.125
15900 298.991
16000 295.978
16100 299.86
16200 305.023
16300 307.353
16400 299.794
16500 296.992
16600 304.364
16700 297.594
16800 295.877
16900 294.053
17000 297.209
17100 300.539
17200 302.391
17300 300.427
17400 297.794
17500 298.248
17600 294.263
17700 298.772
17800 301.937
17900 302.378
18000 296.792
18100 299.914
18200 301.56
18300 295.759
18400 298.342
18500 298.001
18600 302.886
18700 304.335
18800 299.17
18900 296.039
19000 304.213
19100 305.715
19200 301.882
19300 301.312
19400 298.645
19500 300.501
19600 295.226
19700 291.205
19800 294.605
19900 297.959
20000 301.299
20100 300.332
20200 299.017
20300 310.652
20400 306.96
20500 300.683
20600 301.708
20700 295.887
20800 298.333
20900 302.518
21000 302.933
21100 302.304
21200 296.559
21300 300.545
21400 302.159
21500 299.799
21600 300.822
21700 293.434
21800 292.889
21900 295.988
22000 300.67
22100 302.299
22200 298.038
22300 295.181
22400 295.908
22500 298.832
22600 293.595
22700 300.389
22800 304.163
22900 300.278
23000 295.795
23100 298.037
23200 306.975
23300 299.773
23400 295.201
23500 293.096
23600 298.097
23700 300.106
23800 301.078
23900 308.378
24000 300.626
24100 299.604
24200 297.486
24300 298.933
24400 303.25
24500 301.994
24600 301.238
24700 295.361
24800 296.114
24900 300.091
25000 303.961
25100 304.26
25200 299.807
25300 296.836
25400 300.214
25500 306.189
25600 302.522
25700 303.573
25800 300.766
25900 295.502
26000 300.429
26100 304.03
26200 301.798
26300 303.829
26400 300.84
26500 299.695
26600 297.149
26700 301.8
26800 308.05
26900 302.322
27000 300.999
27100 301.47
27200 295.993
27300 297.98
27400 306.315
27500 305.115
27600 301.432
27700 301.611
27800 298.679
27900 298.973
28000 304.421
28100 300.873
28200 295.751
28300 298.354
28400 299.984
28500 303.754
28600 301.987
28700 295.349
28800 296.609
28900 304.568
29000 302.51
29100 298.263
29200 296.563
29300 299.532
29400 302.892
29500 302.09
29600 299.198
29700 300.331
29800 302.707
29900 298.277
30000 297.765
