# Time-averaged data for fix myat3
# TimeStep c_rgyr
100 11.9661
200 11.9432
300 11.9304
400 11.8567
500 11.8306
600 11.8144
700 11.8886
800 11.9108
900 11.8984
1000 11.8621
1100 11.7581
1200 11.5981
1300 11.4725
1400 11.3857
1500 11.2707
1600 11.2546
1700 11.3158
1800 11.3857
1900 11.4402
2000 11.4647
2100 11.4895
2200 11.4797
2300 11.5324
2400 11.599
2500 11.6727
2600 11.6317
2700 11.579
2800 11.5248
2900 11.4906
3000 11.5095
3100 11.5119
3200 11.505
3300 11.5503
3400 11.6252
3500 11.7288
3600 11.733
3700 11.7213
3800 11.7367
3900 11.757
4000 11.8229
4100 11.8585
4200 11.9376
4300 12.0258
4400 12.0986
4500 12.1255
4600 12.1599
4700 12.1809
4800 12.2221
4900 12.2742
5000 12.2927
5100 12.2806
5200 12.2935
5300 12.342
5400 12.3879
5500 12.3724
5600 12.3169
5700 12.3444
5800 12.3941
5900 12.4227
6000 12.4226
6100 12.4073
6200 12.384
6300 12.4198
6400 12.4455
6500 12.4398
6600 12.4324
6700 12.444
6800 12.458
6900 12.3933
7000 12.3631
7100 12.3747
7200 12.3524
7300 12.3924
7400 12.4359
7500 12.456
7600 12.4377
7700 12.3463
7800 12.2392
7900 12.1256
8000 12.0765
8100 12.0962
8200 12.1416
8300 12.233
8400 12.3278
8500 12.374
8600 12.3845
8700 12.3592
8800 12.2561
8900 12.0849
9000 11.9144
9100 11.7865
9200 11.7055
9300 11.6689
9400 11.6614
9500 11.688
9600 11.7007
9700 11.7294
9800 11.7201
9900 11.6709
10000 11.6013
10100 11.5882
10200 11.5287
10300 11.5425
10400 11.5526
10500 11.5277
10600 11.4422
10700 11.375
10800 11.2998
10900 11.2619
11000 11.273
11100 11.338
11200 11.3781
11300 11.413
11400 11.4502
11500 11.502
11600 11.5564
11700 11.6588
11800 11.7116
11900 11.7012
12000 11.643
12100 11.5258
12200 11.3408
12300 11.2512
12400 11.2081
12500 11.2188
12600 11.1491
12700 11.1433
12800 11.1101
12900 11.0675
13000 11.0703
13100 11.1424
13200 11.1982
13300 11.2861
13400 11.4043
13500 11.4972
13600 11.5366
13700 11.5516
13800 11.556
13900 11.5887
14000 11.6497
14100 11.6925
14200 11.8048
14300 11.9064
14400 11.9265
14500 11.9115
14600 11.9654
14700 11.9816
14800 11.9753
14900 11.9685
15000 11.9065
15100 11.8908
15200 11.8879
15300 11.929
15400 11.9734
15500 12.031
15600 12.0593
15700 12.0559
15800 12.0731
15900 12.0572
16000 12.007
16100 11.9992
16200 12.0285
16300 12.1207
16400 12.1914
16500 12.2061
16600 12.1548
16700 12.1156
16800 12.0787
16900 12.0558
17000 12.0444
17100 12.0843
17200 12.1484
17300 12.0788
17400 11.9826
17500 11.9669
17600 12.0043
17700 12.0153
17800 11.9971
17900 11.996
18000 12.0331
18100 12.0428
18200 12.087
18300 12.152
18400 12.178
18500 12.2016
18600 12.2241
18700 12.271
18800 12.3505
18900 12.3615
19000 12.3108
19100 12.2855
19200 12.2923
19300 12.194
19400 12.12
19500 12.0627
19600 11.9931
19700 11.9904
19800 12.0475
19900 12.0961
20000 12.0996
20100 12.1198
20200 12.089
20300 12.0895
20400 12.1328
20500 12.233
20600 12.27
20700 12.2723
20800 12.2607
20900 12.1947
21000 12.1334
21100 12.1241
21200 12.1835
21300 12.2243
21400 12.198
21500 12.1095
21600 12.0687
21700 12.1522
21800 12.1561
21900 12.0704
22000 11.9205
22100 11.8222
22200 11.7225
22300 11.614
22400 11.6216
22500 11.7137
22600 11.7777
22700 11.7402
22800 11.7204
22900 11.712
23000 11.696
23100 11.7033
23200 11.7137
23300 11.723
23400 11.7528
23500 11.8245
23600 11.8806
23700 11.8296
23800 11.8199
23900 11.8236
24000 11.8307
24100 11.8169
24200 11.789
24300 11.7347
24400 11.6729
24500 11.5706
24600 11.5119
24700 11.5253
24800 11.5088
24900 11.4665
25000 11.4385
25100 11.4077
25200 11.4007
25300 11.4419
25400 11.5061
25500 11.5305
25600 11.5519
25700 11.6165
25800 11.7424
25900 11.8558
26000 11.9135
26100 12.013
26200 12.1064
26300 12.1038
26400 12.055
26500 12.0233
26600 12.021
26700 12.0319
26800 12.0472
26900 12.0098
27000 11.9711
27100 11.9727
27200 11.9764
27300 11.9689
27400 11.9656
27500 11.9668
27600 11.8915
27700 11.7807
