# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 293.414
200 301.779
300 302.743
400 299.753
500 295.973
600 299.686
700 308.065
800 302.44
900 295.931
1000 298.677
1100 303.779
1200 306.773
1300 308.453
1400 301.817
1500 298.915
1600 294.919
1700 300.769
1800 304.073
1900 303.298
2000 303.348
2100 300.993
2200 301.023
2300 293.703
2400 298.449
2500 306.204
2600 304.03
2700 296.137
2800 296.215
2900 301.037
3000 301.174
3100 300.028
3200 298.597
3300 301.384
3400 304.478
3500 309.831
3600 302.515
3700 298.999
3800 299.823
3900 299.09
4000 293.991
4100 296.249
4200 302.099
4300 301.573
4400 302.42
4500 294.209
4600 299.13
4700 293.027
4800 295.244
4900 302.353
5000 300.975
5100 300.572
5200 295.132
5300 295.859
5400 299.52
5500 298.425
5600 299.812
5700 301.396
5800 301.757
5900 309.028
6000 305.15
6100 301.315
6200 302.8
6300 297.256
6400 297.705
6500 298.54
6600 303.576
6700 299.451
6800 304.598
6900 296.789
7000 295.424
7100 300.14
7200 303.001
7300 302.315
7400 297.951
7500 300.131
7600 297.855
7700 293.227
7800 297.778
7900 302.167
8000 302.741
8100 296.616
8200 293.856
8300 305.881
8400 302.945
8500 299.772
8600 297.134
8700 298.154
8800 304.281
8900 304.806
9000 302.835
9100 299.608
9200 299.428
9300 299.507
9400 301.693
9500 301.134
9600 302.033
9700 295.156
9800 298.452
9900 305.08
10000 305.904
10100 302.278
10200 297.821
10300 301.941
10400 305.321
10500 299.278
10600 294.488
10700 298.064
10800 302.647
10900 302.239
11000 295.14
11100 292.725
11200 303.355
11300 302.963
11400 295.771
11500 301.54
11600 296.974
11700 296.527
11800 300.192
11900 301.539
12000 301.745
12100 297.799
12200 297.773
12300 297.94
12400 297.843
12500 300.217
12600 305.045
12700 307.792
12800 308.447
12900 300.636
13000 301.36
13100 303.377
13200 299.14
13300 296.652
13400 302.773
13500 299.291
13600 297.446
13700 305.357
13800 303.122
13900 301.501
14000 296.737
14100 301.125
14200 298.108
14300 301.881
14400 304.039
14500 303.245
14600 299.135
14700 298.308
14800 300.19
14900 300.372
15000 299.71
15100 296.67
15200 295.175
15300 297.503
15400 300.938
15500 299.565
15600 300.355
15700 299.869
15800 307.048
15900 299.891
16000 299.636
16100 299.492
16200 297.178
16300 296.377
16400 301.713
16500 300.594
16600 301.713
16700 301.778
16800 309.119
16900 303.186
17000 301.105
17100 298.989
17200 297.733
17300 300.661
17400 306.444
17500 304.239
17600 298.933
17700 298.352
17800 298.95
17900 304.353
18000 299.963
18100 301.791
18200 304.192
18300 303.142
18400 302.169
18500 302.03
18600 297.365
18700 303.674
18800 298.907
18900 293.772
19000 294.479
19100 299.402
19200 298.247
19300 301.794
19400 303.865
19500 300.204
19600 294.251
19700 297.105
19800 304.747
19900 301.471
20000 299.058
20100 295.362
20200 299.06
20300 301.507
20400 301.705
20500 298.803
20600 303.818
20700 305.11
20800 301.876
20900 299.083
21000 301.515
21100 295.397
21200 295.843
21300 301.714
21400 304.26
21500 295.267
21600 299.244
21700 305.24
21800 304.26
21900 301.707
22000 299.593
22100 299.867
22200 299.102
22300 300.831
22400 304.85
22500 300.494
22600 299.512
22700 298.293
22800 296.238
22900 300.233
23000 301.925
23100 300.432
23200 296.845
23300 291.204
23400 296.825
23500 300.923
23600 299.852
23700 303.88
23800 305.175
23900 298.707
24000 298.07
24100 298.174
24200 302.845
24300 304.543
24400 303.688
24500 301.699
24600 297.645
24700 300.71
24800 304.399
24900 300.767
25000 296.577
25100 298.558
25200 295.365
25300 301.246
25400 298.729
25500 299.955
25600 300.637
25700 305.22
25800 307.026
25900 302.273
26000 297.838
26100 303.483
26200 298.415
26300 295.85
26400 299.625
26500 300.193
26600 304.935
26700 298.712
26800 292.997
26900 296.752
27000 303.768
27100 297.474
27200 300.366
27300 301.241
27400 304.2
27500 304.976
27600 295.589
27700 297.767
27800 301.556
27900 305.56
28000 295.721
28100 297.262
28200 297.764
28300 302.129
28400 301.531
28500 301.017
28600 297.303
28700 301.616
28800 300.779
28900 295.481
29000 295.278
29100 298.248
29200 302.17
29300 301.009
29400 299.592
29500 298.452
29600 302.132
29700 297.433
29800 302.741
29900 301.957
30000 301.003
30100 299.823
30200 299.765
30300 297.435
30400 298.185
30500 297.746
30600 303.012
30700 302.336
30800 300.285
30900 296.342
31000 297.921
31100 298.665
31200 307.675
31300 305.704
31400 295.007
31500 296.33
31600 302.646
31700 304.199
31800 299.856
31900 297.228
32000 297.528
32100 304.985
32200 301.639
32300 300.473
32400 301.504
32500 298.838
32600 298.014
32700 302.066
32800 299.273
32900 294.697
33000 294.244
33100 295.86
33200 299.21
33300 300.966
33400 300.17
33500 298.514
33600 297.154
33700 300.943
33800 303.733
33900 301.506
34000 299.433
34100 297.934
34200 297.492
34300 300.186
34400 301.373
34500 299.83
34600 306.246
34700 303.042
34800 300.917
34900 296.688
35000 296.167
35100 306.234
35200 302.625
35300 300.563
35400 298.321
35500 299.445
35600 290.989
35700 292.647
35800 301.193
35900 300.38
36000 300.648
36100 298.69
36200 300.658
36300 300.072
36400 304.014
36500 302.241
36600 300.298
36700 295.072
36800 298.589
36900 302.698
37000 303.489
37100 299.536
37200 296.837
37300 298.084
37400 303.063
37500 300.609
37600 304.805
37700 303.247
37800 299.356
37900 299.885
38000 296.654
38100 302.461
38200 306.156
38300 305.441
38400 296.828
38500 299.712
38600 299.352
38700 299.864
38800 301.045
38900 298.936
39000 303.041
39100 304.794
39200 298.053
39300 300.661
39400 297.858
39500 297.149
39600 303.481
39700 301.461
39800 302.466
39900 297.357
40000 297.765
40100 307.218
40200 307.743
40300 302.624
40400 297.707
40500 300.143
40600 303.599
40700 304.718
40800 300.044
40900 300.627
41000 296.083
41100 296.569
41200 303.311
41300 303.734
41400 298.521
41500 297.624
41600 302.338
41700 306.281
41800 303.986
41900 301.106
42000 298.909
42100 299.354
42200 299.506
42300 303.829
42400 304.179
42500 306.219
42600 300.325
42700 297.992
42800 296.189
42900 302.419
43000 302.822
43100 301.476
43200 296.172
43300 298.198
43400 300.222
43500 296.479
43600 301.023
43700 305.361
43800 303.189
43900 297.953
44000 299.544
44100 302.02
44200 305.806
44300 295.121
44400 300.389
44500 297.055
44600 301.189
44700 302.335
44800 298.625
44900 300.785
45000 303.831
45100 302.455
45200 300.811
45300 299.525
45400 302.266
45500 299.017
45600 297.512
45700 301.639
45800 304.399
45900 300.469
46000 302.88
46100 299.075
46200 298.332
46300 295.178
46400 300.178
46500 297.957
46600 303.704
46700 300.853
46800 298.382
46900 296.843
47000 298.667
47100 300.499
47200 297.07
47300 304.423
47400 308
47500 299.942
47600 299.315
47700 297.103
47800 304.382
47900 303.145
48000 302.892
48100 301.764
48200 297.529
48300 299.407
48400 304.748
48500 305.83
48600 302.105
48700 299.575
48800 298.444
48900 299.782
49000 300.101
49100 298.394
49200 296.596
49300 293.76
49400 300.786
49500 302.203
49600 297.465
49700 299.812
49800 301.951
49900 305.526
50000 301.667
50100 295.909
50200 297.586
50300 300.548
50400 309.102
50500 305.159
50600 303.488
50700 300.602
50800 298.19
50900 296.609
51000 301.596
51100 305.182
51200 300.726
51300 300.469
51400 301.25
51500 297.764
51600 299.028
51700 301.84
51800 303.611
51900 302.003
52000 299.193
52100 300.497
52200 302.603
52300 298.872
52400 299.545
52500 299.465
52600 295.058
52700 299.035
52800 302.002
52900 299.074
53000 302.283
53100 306.175
53200 309.097
53300 302.938
53400 302.253
53500 300.242
53600 297.802
53700 297.156
53800 299.741
53900 302.622
54000 304.4
54100 299.394
54200 296.799
54300 301.503
54400 296.15
54500 302.384
54600 308.481
54700 303.266
54800 300.387
54900 298.979
55000 298.236
55100 298.372
55200 298.914
55300 301.637
55400 303.03
55500 301.163
55600 297.966
55700 296.751
55800 300.83
55900 300.129
56000 303.979
56100 305.985
56200 304.758
56300 303.937
56400 300.45
56500 298.342
56600 297.226
56700 302.248
56800 306.094
56900 307.855
57000 300.067
57100 301.244
57200 296.014
57300 295.415
57400 297.945
57500 300.252
57600 299.068
57700 302.631
57800 307.869
57900 300.275
58000 299.578
58100 297.186
58200 301.792
58300 306.444
58400 302.839
58500 296.051
58600 296.447
58700 301.075
58800 305.087
58900 300.44
59000 294.888
59100 296.945
59200 302.988
59300 303.797
59400 297.438
59500 298.117
59600 292.249
59700 293.763
59800 296.833
59900 298.214
60000 298.817
