# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 25.4046
200 87.5542
300 130.153
400 169.631
500 208.614
600 241.469
700 265.83
800 287.622
900 311.307
1000 305.171
1100 303.882
1200 301.26
1300 299.931
1400 296.491
1500 297.175
1600 303.468
1700 303.275
1800 300.065
1900 297.744
2000 294.228
2100 298.13
2200 305.222
2300 306.35
2400 301.794
2500 298.873
2600 299.284
2700 297.509
2800 293.713
2900 300.859
3000 304.226
3100 301.949
3200 294.475
3300 299.352
3400 305.86
3500 299.343
3600 298.918
3700 300.34
3800 301.52
3900 296.588
4000 297.347
4100 303.297
4200 300.494
4300 303.873
4400 299.551
4500 297.745
4600 295.098
4700 301.65
4800 300.761
4900 300.186
5000 303.391
5100 300.37
5200 295.961
5300 299.787
5400 299.014
5500 301.384
5600 303.045
5700 303.198
5800 297.288
5900 297.15
6000 295.3
6100 302.476
6200 305.049
6300 300.377
6400 299.304
6500 299.211
6600 301.322
6700 297.594
6800 296.294
6900 300.949
7000 301.654
7100 301.58
7200 301.872
7300 299.769
7400 294.707
7500 300.172
7600 304.984
7700 304.515
7800 295.688
7900 297.145
8000 296.681
8100 302.032
8200 306.109
8300 300.406
8400 295.753
8500 299.364
8600 299.186
8700 298.279
8800 300.988
8900 307.849
9000 301.824
9100 295.157
9200 298.37
9300 300.353
9400 303.599
9500 301.011
9600 298.415
9700 299.503
9800 294.481
9900 301.155
10000 302.831
10100 297.328
10200 301.098
10300 306.9
10400 297.34
10500 294.771
10600 304.458
10700 303.837
10800 299.217
10900 300.755
11000 299.587
11100 297.178
11200 300.523
11300 302.795
11400 301.292
11500 302.083
11600 298.23
11700 295.368
11800 299.706
11900 303.953
12000 305.611
12100 300.939
12200 303.01
12300 297.974
12400 297.367
12500 300.556
12600 306.494
12700 308.63
12800 298.461
12900 295.789
13000 300.606
13100 305.052
13200 301.704
13300 300.232
13400 295.903
13500 299.591
13600 304.176
13700 300.114
13800 296.569
13900 298.27
14000 298.927
14100 298.149
14200 306.925
14300 303.253
14400 300.79
14500 298.109
14600 297.006
14700 300.506
14800 301.072
14900 302.386
15000 306.538
15100 309.006
15200 305.015
15300 301.771
15400 301.929
15500 299.111
15600 293.56
15700 299.017
15800 301.238
15900 300.625
16000 300.572
16100 295.636
16200 295.209
16300 300.151
16400 303.519
16500 299.918
16600 300.953
16700 297.547
16800 300.146
16900 293.338
17000 299.075
17100 302.856
17200 299.309
17300 297.646
17400 301.771
17500 307.532
17600 300.533
17700 299.43
17800 299.452
17900 295.556
18000 301.427
18100 303.169
18200 301.208
18300 299.285
18400 302.673
18500 302.837
18600 302.559
18700 300.67
18800 297.857
18900 296.916
19000 299.794
19100 300.824
19200 303.9
19300 300.808
19400 296.35
19500 298.827
19600 298.092
19700 301.915
19800 300.221
19900 299.081
20000 292.378
