# Time-averaged data for fix at2
# TimeStep f_mysf1[1] f_mysf2[1]
100 0.00318449 -0.349235
200 0.442034 -0.376807
300 -0.334065 0.429296
400 -2.326 0.169661
500 0.754445 1.60131
600 0.982823 0.574511
700 2.60807 -1.11666
800 -1.35055 -0.302427
900 -0.206754 0.287322
1000 0.495753 -0.0677221
1100 0.739874 -0.550018
1200 -0.0686923 -0.396136
1300 -0.76594 -0.925131
1400 -0.62076 -0.801894
1500 0.469536 1.19806
1600 -1.95223 0.81276
1700 1.78432 -1.31372
1800 1.2879 1.23597
1900 -0.090328 2.22982
2000 -2.85625 -0.0839439
2100 -0.508036 -1.50877
2200 0.213862 -0.9358
2300 -0.25252 -1.18921
2400 0.99824 -0.497493
2500 0.000295196 0.799932
2600 0.117327 -1.03165
2700 1.49467 0.312406
2800 0.593461 0.79552
2900 -0.340073 -0.124541
3000 0.343177 0.483615
3100 1.11018 0.467117
3200 -1.43098 -1.74443
3300 -0.71533 1.41915
3400 -1.1948 -0.782226
3500 -0.792039 1.71635
3600 -0.451409 1.44264
3700 0.973623 -0.908776
3800 0.962175 -0.956756
3900 1.49911 -0.162047
4000 0.508791 1.48736
4100 -0.0220647 -0.267161
4200 -0.205613 -0.763682
4300 -1.63454 -1.35703
4400 -0.361725 -0.485452
4500 1.24978 -1.31413
4600 0.134802 -1.01561
4700 0.84168 0.444911
4800 0.47504 3.36734
4900 -1.01238 1.35303
5000 -1.43816 -0.186938
5100 0.0502944 -0.593694
5200 0.227682 -0.886352
5300 -1.34308 -0.303201
5400 0.177813 -0.0375775
5500 1.37257 -0.089053
5600 -1.79525 -0.104796
5700 -0.350399 0.499367
5800 0.673204 -1.23571
5900 1.29679 -0.165792
6000 2.3037 0.429808
6100 1.23337 -1.82841
6200 -1.4142 0.932569
6300 -1.121 0.378127
6400 -0.505197 -0.485586
6500 -0.466915 -0.307192
6600 -0.646973 0.902905
6700 1.10398 0.132417
6800 0.513169 1.82943
6900 -1.30084 0.175991
7000 0.640866 1.44662
7100 1.4149 -1.25669
7200 -0.964693 0.882674
7300 -0.187561 0.083435
7400 0.619382 -1.39448
7500 0.428723 -3.12599
7600 0.772497 -1.68922
7700 0.553407 1.88353
7800 -1.92063 2.2943
7900 -0.0787973 -0.0285687
8000 0.642991 -0.653639
8100 1.21012 -0.344978
8200 -0.27881 -0.466471
8300 -1.77263 0.244853
8400 -0.457825 0.43313
8500 -0.95318 -0.360132
8600 0.106371 0.52192
8700 -1.45684 0.0878552
8800 0.762579 -1.13591
8900 1.01013 0.766015
9000 2.70811 -1.74701
9100 0.318649 -1.08204
9200 -0.938433 1.4135
9300 0.272572 1.34816
9400 -0.793231 -1.09928
9500 -0.0936706 -0.211521
9600 -0.764476 -1.55745
9700 2.31057 -0.540186
9800 -1.07386 0.73213
9900 -0.664375 2.9767
10000 0.38907 1.1725
10100 0.476961 0.143891
10200 -1.18465 0.831504
10300 0.766886 -0.362608
10400 1.38452 -1.26007
10500 0.205862 -0.834301
10600 0.177979 -1.08912
10700 -0.901844 -0.435792
10800 0.472072 0.323291
10900 -0.190307 -0.0882925
11000 2.11036 0.186084
11100 0.403399 -0.827534
11200 -1.14592 1.17406
11300 -0.112929 -0.204034
11400 -2.19122 -0.211862
11500 -0.741058 0.527594
11600 -0.0787621 0.0722252
11700 -0.665 -0.515475
11800 0.27232 -0.0276776
11900 1.01018 -0.0574681
12000 0.408261 -0.459603
12100 0.451849 -0.0635924
12200 -0.975729 0.245177
12300 -0.019383 -1.24562
12400 2.10651 -0.41897
12500 0.942169 -0.278118
12600 -0.637603 -1.75052
12700 -1.13515 0.514678
12800 0.0473594 1.07147
12900 -0.648704 0.806462
13000 0.858671 1.50895
13100 0.538723 0.334149
13200 -0.557092 -0.821826
13300 0.203843 -0.17135
13400 0.584942 0.731931
13500 -0.306041 1.42441
13600 -0.681521 -0.512697
13700 0.481345 -1.59796
13800 -0.253151 -0.591255
13900 2.09849 -1.85798
14000 0.0743794 1.19597
14100 1.93799 0.0270012
14200 0.400141 -0.426544
14300 -1.85248 1.68144
14400 -1.91954 -1.11338
14500 0.353121 -0.375414
14600 1.41983 0.763018
14700 -0.533202 0.306872
14800 -0.958562 -1.52068
14900 -1.33986 0.675592
15000 -0.590818 0.476924
15100 0.102109 1.88929
15200 1.66639 -0.782278
15300 1.30323 -1.52263
15400 -0.223618 -1.64608
15500 -0.0843605 0.252151
15600 -0.817042 -0.056213
15700 0.761511 -1.68001
15800 -0.61676 -0.387097
15900 0.774207 0.84647
16000 1.2744 1.02201
16100 0.634763 -0.633263
16200 -2.0385 1.1578
16300 -0.148031 0.167595
16400 -0.168227 0.319278
16500 -1.45057 1.01564
16600 1.42425 1.0826
16700 0.162701 -1.80771
16800 0.097451 -0.868022
16900 1.23999 0.0611951
17000 -0.377899 0.154494
17100 0.663639 -0.646002
17200 1.45194 -0.242013
17300 -0.45628 -0.767232
17400 0.662538 1.10478
17500 0.856902 -0.590165
17600 -1.7319 -0.550597
17700 -0.803689 0.525786
17800 0.147676 0.96047
17900 -1.05066 -0.73664
18000 -0.439639 1.4814
18100 1.5125 -0.750939
18200 -0.785038 0.878969
18300 -0.329667 -0.223886
18400 0.842272 -1.44344
18500 -0.302577 -0.646779
18600 0.628661 -0.402233
18700 -0.0486346 -0.57996
18800 0.882611 -0.579221
18900 0.449728 -0.915226
19000 -0.610042 -0.559954
19100 1.03669 1.43726
19200 -0.0471722 0.814324
19300 -1.50444 -0.54399
19400 0.536572 1.13301
19500 -0.31956 1.31727
19600 -0.897036 -0.476286
19700 -0.801068 0.824265
19800 0.0408697 -0.494366
19900 0.432141 -1.28016
20000 0.985355 -0.17448
20100 0.913741 0.795875
20200 0.928071 -0.863383
20300 0.603703 1.06987
20400 1.20573 -1.76595
20500 0.310539 -2.23182
20600 -1.2703 0.174274
20700 0.148298 0.9313
20800 -0.0281883 0.558339
20900 0.324882 1.40763
21000 -1.81588 -0.460635
21100 -1.31369 0.235774
21200 0.119987 0.701894
21300 0.815654 -0.356068
21400 1.19623 -1.38046
21500 0.498529 0.710228
21600 -0.856329 0.480123
21700 -1.04837 -1.66863
21800 0.201426 -0.162135
21900 0.942877 -1.29534
22000 1.27617 -0.575225
22100 0.46241 0.382317
22200 0.628715 -0.0321587
22300 -0.765513 0.366145
22400 -0.880067 0.248699
22500 -0.896374 0.855951
22600 -0.0812447 -0.250678
22700 -0.220778 0.895078
22800 1.03483 -0.262982
22900 0.146883 -0.819376
23000 -0.510164 0.0572839
23100 -0.696777 0.970564
23200 1.07685 1.05928
23300 1.54961 -0.996162
23400 0.303941 -1.68178
23500 0.690648 -1.55272
23600 0.984685 -1.18883
23700 -0.544632 1.06395
23800 0.128662 1.59758
23900 -1.06647 1.29299
24000 -0.339755 -0.439546
24100 -0.646009 -1.1694
24200 -0.22058 -0.225369
24300 0.700192 0.515983
24400 1.2448 0.608893
24500 -0.956527 0.114831
24600 -1.70212 0.346344
24700 -1.08879 -0.968246
24800 1.75845 -1.61586
24900 2.93323 -0.224981
25000 0.288693 -0.643903
25100 0.0429135 0.372624
25200 -1.19982 -0.994016
25300 -0.788313 0.220084
25400 -0.71997 0.53093
25500 0.391199 1.3002
25600 1.46767 -0.250704
25700 -0.303396 -0.388449
25800 -1.09318 -1.57307
25900 0.072119 1.00859
26000 -0.717221 3.3392
26100 1.2093 -0.189506
26200 1.07972 -1.60196
26300 -0.686634 -0.643173
26400 1.48619 -1.39288
26500 -0.120113 -1.57374
26600 0.577591 1.63754
26700 0.722555 0.626519
26800 -0.282237 -1.12014
26900 -0.830711 0.176844
27000 0.243168 -0.108511
27100 1.11083 -0.0848524
27200 0.172149 1.31397
27300 -0.616181 -0.0500755
27400 -1.96889 -0.275141
27500 -1.78428 0.345761
27600 0.717605 -1.23197
27700 2.90982 0.262261
27800 0.215691 -0.149299
27900 -0.561788 -0.152926
28000 0.170602 -0.729332
28100 -1.21917 -1.24607
28200 0.465589 -0.549411
28300 1.9856 0.530782
28400 0.870848 -0.187175
28500 -2.06712 0.895523
28600 -0.425547 -0.888211
28700 0.276292 0.266767
28800 -1.02858 1.07915
28900 0.399936 0.951117
29000 0.666207 0.594657
29100 0.711781 -2.20418
29200 -0.178507 0.113784
29300 0.329073 -0.134512
29400 -0.428847 0.389445
29500 1.28842 0.645946
29600 0.314433 -1.88715
29700 0.572465 -1.92766
29800 0.727886 0.590811
29900 0.45797 1.36238
30000 -0.495572 0.748491
30100 -1.32784 0.663581
30200 -0.819306 -0.655577
30300 0.622353 -0.398491
30400 -1.0216 0.534277
30500 1.29872 -0.799167
30600 0.300412 -0.213741
30700 -0.260066 0.669345
30800 0.111804 0.0620889
30900 -0.980403 -1.4445
31000 1.00835 -0.210586
31100 1.12855 0.587739
31200 0.803711 -1.87946
31300 -1.15326 -1.19905
31400 0.215307 0.883427
31500 -0.724424 0.49288
31600 0.0191438 0.41346
31700 -0.103076 1.28361
31800 1.55321 -0.554234
31900 -1.339 -0.536303
32000 -0.525042 -0.639625
32100 -0.387452 -0.174537
32200 1.31341 1.02772
32300 -0.899498 0.951666
32400 0.196282 -1.70554
32500 2.23622 -0.981182
32600 1.30935 -0.357579
32700 -0.0789248 0.627746
32800 -0.0373378 -0.533041
32900 -0.972378 0.532268
33000 -0.266738 0.301052
33100 -0.520742 -0.175123
33200 0.475372 -0.0764814
33300 0.661224 2.3668
33400 -0.111887 -1.84098
